UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2018)
P.001_N.01,PERLIS,P.001,PADANG BESAR,N.01,TITI TINGGI,10111,77.83,19.29,2.13,0.01,0.08,0.14,0.53,95.69,0.01,4.3,0,18.6,25.5,17.9,17.5,13.3,5.2,1.6,0.3,51.9,48.1,SEMI URBAN
P.001_N.02,PERLIS,P.001,PADANG BESAR,N.02,BESERI,8914,81.33,16.83,0.74,0,0.08,0.21,0.81,95.24,0.06,0.67,4.03,20.1,25.3,15.6,18.1,12.5,6.1,1.9,0.4,50.3,49.7,SEMI URBAN
P.001_N.03,PERLIS,P.001,PADANG BESAR,N.03,CHUPING,10542,85.78,1.98,0.58,0,0.01,0.02,11.63,99.98,0.02,0,0,15.8,26.2,19.7,15.1,14.8,6.4,1.7,0.3,49.7,50.3,RURAL
P.001_N.04,PERLIS,P.001,PADANG BESAR,N.04,MATA AYER,7617,90.77,2.59,0.7,0.08,1.58,3.61,0.68,78.81,0.03,0.45,20.72,20.9,30.4,16,14.2,10.1,6.1,2.1,0.2,50.7,49.4,SEMI URBAN
P.001_N.05,PERLIS,P.001,PADANG BESAR,N.05,SANTAN,8912,99.28,0.44,0.1,0,0.03,0.02,0.12,100,0,0,0,17.5,22.6,16,18,14.3,8.1,3.1,0.3,47.8,52.2,SEMI URBAN
P.002_N.06,PERLIS,P.002,KANGAR,N.06,BINTONG,12136,95.99,2.51,1.18,0,0.06,0.04,0.22,99.99,0.01,0,0,18.2,24.9,17.7,16.5,13.7,6.6,2.1,0.3,47.6,52.4,SEMI URBAN
P.002_N.07,PERLIS,P.002,KANGAR,N.07,SENA,12303,86.52,8.02,2.72,0.01,0.12,0.16,2.45,90.77,0.03,9.2,0,17.6,26.7,16.6,17.9,13,6,2,0.3,51.2,48.8,SEMI URBAN
P.002_N.08,PERLIS,P.002,KANGAR,N.08,INDERA KAYANGAN,11018,50.62,43.94,3.79,0,0.07,0.07,1.51,99.97,0.03,0,0,16.9,22.6,15.6,18.6,16.1,7.2,2.5,0.5,48.2,51.8,SEMI URBAN
P.002_N.09,PERLIS,P.002,KANGAR,N.09,KUALA PERLIS,10654,78.74,20.53,0.11,0,0.02,0.09,0.51,99.67,0.01,0.32,0,16.1,24.7,18.6,19.6,12.9,5.8,1.8,0.4,50.6,49.4,SEMI URBAN
P.002_N.10,PERLIS,P.002,KANGAR,N.10,KAYANG,9827,96.14,2.01,0.33,0,0.09,0.07,1.35,99.98,0.02,0,0,18.5,22.8,18,18.2,12.9,6.9,2.4,0.4,47,53,SEMI URBAN
